Test Year,Average Prediction,Lower CI,Upper CI,Target
2011,7.116331,5.9467154,8.285947,7
2012,6.7177253,5.2751937,8.160256,10
2013,7.6615057,6.342508,8.980503,2
2014,5.953451,4.782713,7.1241894,6
2015,4.801062,3.2894757,6.312649,4
2016,6.4705195,4.7042894,8.23675,7
2017,7.1952724,5.121072,9.269473,10
2018,7.0614944,4.835722,9.287267,8
2019,7.4739203,4.9825697,9.965271,6
2020,7.838753,6.036685,9.640821,14
2021,8.438663,6.07617,10.801155,7
