2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
4.9511323,5.761243,11.267878,3.016026,1.6137106,4.45498,6.196739,9.247988,8.213289,6.018541,10.316222
6.7930093,6.293305,10.312303,6.2095137,4.1046886,6.616906,6.040469,8.393219,8.585257,9.487775,9.680227
7.138879,3.8082917,10.876322,4.2782593,0.6546418,2.718811,5.512419,6.8634815,9.15509,6.7342763,10.137646
6.4133363,4.4177933,11.568172,1.8627797,3.8683417,5.849408,6.942289,7.4807267,7.164997,6.532816,12.548906
7.5568748,4.1114626,10.842658,4.9327364,0.055359706,3.7951865,7.606499,5.5643706,5.681679,8.711935,6.162441
9.4386425,6.923935,11.2388115,3.9354656,-0.05415614,1.8616879,6.5732617,5.5792823,6.167012,8.330964,11.363534
4.9680724,5.071718,11.453442,5.132102,0.30934826,5.386246,5.4988117,7.084875,7.564299,7.3569016,10.986875
6.306797,6.937565,9.873285,5.3473463,-0.47632086,5.766284,7.9863443,5.2335043,7.5231395,10.778952,10.286625
7.058235,5.8270626,9.483648,5.0185,0.53189164,3.011712,8.232013,11.492428,8.335601,9.685885,13.031037
7.7440624,5.611118,7.3823714,4.2438717,2.4437504,5.894954,5.3648396,7.7156925,6.879261,9.167075,7.2131567
5.0552225,7.1537347,7.4684324,3.535586,0.23054482,1.9598866,3.2173405,6.568925,6.8052254,6.6509337,11.8691635
3.8655496,5.953939,10.639285,5.1641917,0.6962469,6.332265,6.337225,8.175875,8.72403,9.582398,9.082449
7.5719457,5.2622375,10.221544,6.713722,0.69813734,2.2113738,6.656937,6.887657,6.5347967,5.6897273,10.124072
7.933127,5.896949,10.362282,3.950772,1.6644155,5.4323425,6.659221,5.9702883,5.6228704,9.521395,8.501926
4.3938966,8.054939,8.345885,5.903426,1.9587582,5.3873925,4.359454,7.917044,7.612153,10.106166,9.169273
8.868643,6.1587496,8.935539,3.7319982,0.5224998,4.293878,6.75333,7.930751,5.6700993,9.768658,11.090699
7.853074,9.612961,8.976882,1.6432697,3.8468099,2.1856809,4.9737005,6.9909763,7.629088,8.388262,9.847401
10.626977,5.540922,10.08059,4.7003617,0.53591526,2.5130353,5.3618045,7.5616407,7.9545007,8.81264,11.979292
7.0120606,7.5496287,11.240814,4.54352,1.9979488,8.915554,5.5881443,7.5648518,4.923783,6.3665957,6.6851387
6.738441,5.0448756,11.390173,3.111923,1.1387373,1.1062883,6.4623423,8.116887,6.3921676,7.901058,8.676241
6.0750103,7.6539545,10.480385,3.6245813,2.8425624,5.056232,8.613143,7.2814093,6.8053284,9.5459585,8.857862
5.444622,7.9579296,8.005825,6.248714,2.0549972,4.9978185,6.23772,7.0738273,8.715194,9.4793215,8.983817
5.469485,7.3695803,8.933872,5.180691,1.9804575,1.3059177,7.7551756,6.680701,6.555479,8.457864,7.8244762
4.691387,5.3054347,10.572591,6.888451,0.7681746,0.92445344,4.3236475,10.494609,6.784681,6.3731246,8.609185
6.7741537,4.3749866,7.4827647,4.7826595,3.0518653,4.438587,8.297444,7.052134,4.8257003,8.859838,8.197332
8.2858715,6.8301077,10.24942,3.5700934,-0.39254886,0.48361707,7.321431,7.604422,8.772759,6.8508515,7.3257294
7.396163,7.2377195,6.6342545,3.393333,2.5642018,5.466029,6.6569524,6.546631,7.7321687,5.541199,9.475984
5.60925,3.4580436,8.658691,2.3431745,1.0724453,6.5803456,5.2027655,7.752009,4.86784,11.812944,9.746774
4.011873,8.459285,7.172856,6.508747,3.383675,3.5350742,6.5919065,7.6445885,7.7370315,10.1368685,12.106922
6.0677843,5.0632153,11.367305,5.069835,-1.1004145,6.472621,7.075426,8.375526,6.7668023,9.053851,10.341187
7.8974376,4.8554063,10.025031,3.5715919,4.026577,6.4189124,3.1919582,8.625716,8.797527,6.166071,10.016049
6.1239095,6.5002065,8.410216,5.90851,1.6684766,4.301475,9.136413,9.158735,8.550831,6.019,8.337284
4.874983,7.584124,8.022497,5.9952374,3.0186832,3.19641,7.0255966,7.8350353,7.1969757,9.332595,9.908144
7.51107,6.1850433,11.694356,4.791586,2.8506322,2.9678001,5.7464833,8.686952,7.2549148,7.3461723,4.734475
8.233805,6.9182763,9.579049,6.067873,0.48404455,7.545783,5.777759,7.864881,9.792758,10.25112,11.011412
7.5978394,7.294536,10.770876,6.36572,2.55424,4.766257,5.829323,7.9066596,5.621935,10.059265,9.689502
4.788068,4.5282416,9.311219,5.877917,0.78365564,4.2374573,5.9638824,7.7550707,10.79861,7.0890036,10.798571
6.3995957,6.795404,11.821531,4.7401743,-0.67168725,1.9484961,4.927833,6.260587,6.5338335,5.5588326,9.148613
4.0016246,4.079783,10.034666,4.762662,2.2232502,1.7538984,6.3166423,8.807081,7.9694514,7.407665,11.921702
8.234526,7.655842,7.333702,8.260725,1.2404245,4.83031,1.6721768,10.192266,7.302919,6.1593523,8.45292
6.530732,6.2602463,8.366333,3.8152122,1.8697431,2.4150324,5.80866,7.751806,5.0984225,7.1818285,7.6244116
7.679985,6.2374744,10.60576,3.445225,1.4209468,4.861382,6.5424576,9.249999,7.6831546,7.62222,8.024689
6.1755056,7.1512136,9.005589,6.104219,0.13183045,1.5038412,9.258321,7.7647605,6.3807573,8.788021,9.067172
7.285954,5.91129,11.628018,4.4165244,1.3489279,4.808939,5.5803876,7.680763,6.125832,9.536027,10.761025
5.408235,5.643942,11.870837,6.162005,0.85326463,3.9624295,10.299768,6.669965,5.3960547,9.784724,9.047665
4.7686067,6.766599,10.84829,5.804086,1.6978853,6.208898,8.745983,10.902396,8.140997,6.958468,8.102221
5.7089,4.8221965,9.033154,2.0224597,5.1417065,4.143186,4.236086,6.550647,9.149646,11.081034,9.2553215
6.0568304,5.2555757,9.696372,3.4390361,0.38184166,2.038769,5.507781,7.4881124,5.972762,8.447777,6.1482115
7.2750607,2.1735058,10.303825,4.8303304,3.9525683,3.630931,6.019677,6.694847,7.7316384,8.077051,8.563082
4.13927,3.0598218,8.401356,4.493728,1.9460123,4.9109244,5.3277993,7.177337,4.7356844,8.161887,9.203133
2.9564157,7.965535,8.658923,3.0765872,2.7590702,5.549098,3.4794312,5.085244,8.024092,9.319323,8.214213
3.8360517,6.821842,11.167679,6.9502463,3.4447095,1.0220647,6.4202013,6.3826027,3.0488322,7.5177455,10.905518
4.821819,8.63247,10.422162,3.2322803,1.98762,3.5650754,4.3872366,7.0936093,7.8085265,6.3475018,13.847769
3.4271443,7.617881,12.661063,5.2770996,3.5221543,1.8283423,7.8622093,7.3350654,6.659116,6.2414136,9.528805
