Test Year,Average Prediction,Lower CI,Upper CI,Target
2011,7.1264954,5.9466505,8.30634,7
2012,6.5807204,5.3064313,7.8550096,10
2013,7.716966,6.364246,9.069686,2
2014,5.920007,4.318144,7.5218706,6
2015,4.9068065,3.3284154,6.4851975,4
2016,6.4856963,4.67354,8.2978525,7
2017,7.176238,5.5836573,8.768819,10
2018,7.1380067,5.189533,9.08648,8
2019,7.6973953,5.9352303,9.45956,6
2020,7.681578,6.0472803,9.315876,14
2021,7.989516,5.930602,10.0484295,7
