"","Year1","Year2","Year3","Year4","Year5","Year6","Year7","Year8","Year9","Year10","Year11","Year12"
"medQGBRT_13",6.20379006561619,6.10174838578449,5.96275006640764,5.84658463188374,5.39511135119126,5.68728269269717,5.77607734076471,5.86325217800247,5.98375589882558,6.17579531168837,6.09569172745877,6.46098896174073
"medQGBRT_14",5.60126919599582,5.10759133811552,4.83297413482114,6.96712606626653,3.30917117176298,2.53019778873507,3.93570396966718,6.18441841430026,4.49616292355038,6.13687491073145,6.16199664180496,8.35142265778638
"medQGBRT_15",4.59608878944821,3.32386130244705,7.92215260608199,1.04435661444333,0.247885833343127,1.82125204105104,6.10376195156531,2.84324619978526,7.05436325731535,6.53455913000914,10.2876950878024,4.59608878944821
