Run,MAE,DA
1,2.329909237948331,0.3
2,2.4712642322887075,0.3
3,2.543286843733354,0.2
4,1.9828277067704634,0.8
5,2.2566624988209116,0.6
6,1.9390024488622493,0.6
7,2.248672832142223,0.6
8,2.1479050029407847,0.6
9,2.2371601191433994,0.5
10,2.2488704161210493,0.5
11,2.4052230661565606,0.5
12,2.290230490944602,0.6
13,2.099667939272794,0.6
14,2.0971800197254526,0.7
15,2.1258997917175293,0.5
16,2.384202003479004,0.4
17,1.9893516193736682,0.7
18,2.248304150321267,0.5
19,2.6924174482172187,0.5
20,2.9602101932872427,0.4
21,2.652309374375777,0.4
22,2.3842115835710005,0.4
23,2.380346645008434,0.4
24,2.199546380476518,0.5
25,2.303178982301192,0.5
26,2.374560832977295,0.4
27,1.8550507805564187,0.5
28,2.37599177794023,0.5
29,1.9281624880704014,0.7
30,1.9108993790366433,0.7
31,2.6865871169350366,0.4
32,2.3583531813188032,0.6
33,2.416179982098666,0.6
34,2.309194174679843,0.4
35,2.524894887750799,0.5
36,2.2409207170659844,0.5
37,2.2296218872070312,0.6
38,2.2920773246071557,0.4
39,2.225441109050404,0.5
40,2.5197056857022373,0.3
41,2.4464275620200415,0.4
42,2.427772868763317,0.4
43,2.2556543350219727,0.5
44,2.1326761679215864,0.4
45,2.3918103738264604,0.6
46,1.998950871554288,0.6
47,2.4010908820412378,0.4
48,2.0792147029529917,0.7
49,2.257362279024991,0.6
50,2.323926405473189,0.5
