"","Year","Month","Hurricane Count","time_series1.enso.ts.1mn","time_series1.tni.had","time_series1.nina1","time_series1.nina3.anom","time_series1.pna","time_series1.soi","time_series2.z500_avg","time_series2.z500_std","time_series2.zzwnd200_ori","time_series2.zwdn_200_an","time_series2.zwdn_500_an","time_series2.zwnd200_st","time_series2.OLR","time_series2.Oni","MM","ESPI","EI","LI","MON","X130E.80W","X160E.80W","X180W.100W"
"191",1994,11,2,1.02,-1.313,21.37,21.37,-0.78,0.21,267.4,-0.35,3.5,-5,-0.12,-1,25.7,2,11,0.84742,0.58452,-1.14167,11,0.67,0.91,1.16
"192",1994,12,0,1.32,-1.182,21.96,21.96,-2.03,1.04,267.67,0.35,13.4,0.1,0.12,0,-6.9,1.7,12,1.14523,1.31774,-0.82621,12,0.39,0.63,0.8
"193",1995,1,0,0.84,-1.498,23.92,23.92,-0.92,0.48,267.67,0.47,12.6,-2,0.16,-0.4,8.5,1.4,1,0.34518,0.3635,-0.2707,1,0.09,0.36,0.51
"194",1995,2,0,0.7,-1.743,25.66,25.66,-1.03,-0.95,267.39,-0.39,7.8,-6.3,-0.13,-1.3,25.2,1.2,2,-0.09856,-0.41863,-0.41719,2,-0.17,0.04,0.13
"195",1995,3,0,0.44,-2.075,26.16,26.16,-0.8,-2.94,267.64,-0.04,11.3,1.2,-0.01,0.2,36.7,1,3,-0.51966,-0.70315,0.17739,3,-0.47,-0.47,-0.44
"196",1995,4,0,0.97,-2.374,23.62,23.62,-1.07,1.63,268.08,0.6,5.7,-2.3,0.2,-0.5,40.3,0.7,4,0.38868,0.3541,-0.29865,4,-0.52,-0.56,-0.6
"197",1995,5,0,0.64,-2.405,22.97,22.97,-0.42,1.47,268.01,0.26,4.8,-0.1,0.09,0,46,0.4,5,0.13914,-0.24933,-0.62963,5,-0.46,-0.5,-0.44
"198",1995,6,1,0.28,-2.145,21.24,21.24,1.89,0.26,267.96,0.93,-1.2,-3,0.32,-0.6,50.6,0.2,6,-0.09679,0.17285,0.39894,6,-0.27,-0.28,-0.14
"199",1995,7,0,0,-1.806,20.7,20.7,-1.26,-1.01,267.39,0.17,-4.9,-4.6,0.06,-0.9,52.1,0.2,7,-0.17231,-0.28761,0.00574,7,-0.23,-0.34,-0.44
"200",1995,8,5,-0.2,-1.333,20.14,20.14,0.32,0.06,267.68,0.84,-6.1,-3.5,0.29,-0.7,61.9,0.1,8,-1.37162,-1.22119,1.35896,8,-0.4,-0.62,-0.84
"201",1995,9,2,-0.42,-0.849,20.08,20.08,0.36,-0.81,267.67,0.8,-3.5,-0.2,0.27,0,59.5,-0.1,9,-1.14092,-1.11589,1.05857,9,-0.53,-0.85,-1.2
"202",1995,10,3,-0.26,-0.595,20.31,20.31,1.42,0.36,267.6,0.39,0.7,-1,0.13,-0.2,66,-0.1,10,-0.51376,-0.70161,0.26807,10,-0.46,-0.77,-1.03
"203",1995,11,0,-0.38,-0.335,20.56,20.56,-0.81,0.19,267.42,-0.29,11.4,2.9,-0.1,0.6,60.7,-0.2,11,-1.21603,-0.96753,1.45324,11,-0.44,-0.74,-0.86
"204",1995,12,0,0.01,-0.059,21.68,21.68,-1.56,-1.77,267.16,-1.16,10.5,-2.8,-0.39,-0.6,52.8,-0.3,12,-0.9078,-0.79046,1.03516,12,-0.31,-0.63,-0.84
"205",1996,1,0,-0.66,0.021,23.66,23.66,-0.15,-1.4,267.06,-1.33,18.5,3.9,-0.45,0.8,61.7,-0.4,1,-0.98519,-0.65428,1.36564,1,0.04,-0.16,-0.29
"206",1996,2,0,-0.39,-0.294,25.88,25.88,-2.05,-0.61,267.32,-0.59,14.4,0.3,-0.2,0.1,60.4,-0.5,2,-1.22801,-1.04842,1.33159,2,0.13,-0.02,-0.12
"207",1996,3,0,-0.52,-0.398,27.03,27.03,0.43,0.88,267.5,-0.45,8.8,-1.3,-0.15,-0.3,53.5,-0.5,3,-0.22198,-0.46246,-0.14569,3,0.21,0.09,0.05
"208",1996,4,0,-0.53,-0.779,26.44,26.44,-0.54,-1.6,267.73,-0.44,10.1,2.1,-0.15,0.4,43.5,-0.4,4,-0.63879,-0.76167,0.21817,4,0.17,-0.03,0.01
"209",1996,5,0,-0.48,-1.189,26.54,26.54,-0.15,0.18,267.69,-0.68,7.2,2.3,-0.23,0.5,49.2,-0.2,5,-0.4119,-0.62442,-0.01513,5,0.12,-0.07,-0.16
"210",1996,6,0,-0.54,-1.345,26.12,26.12,0.1,0.98,267.62,-0.07,2.7,0.9,-0.02,0.2,51.8,0,6,-0.16137,-0.37714,-0.10921,6,0.14,0.08,0.17
"211",1996,7,2,-0.26,-1.234,25.59,25.59,-1.18,-0.28,267.12,-0.63,2,2.3,-0.21,0.5,53.4,0,7,-0.42737,-0.82702,-0.11785,7,0,-0.15,-0.18
"212",1996,8,3,-0.35,-1.266,24.96,24.96,1.26,-0.63,267.06,-0.99,-2.9,-0.3,-0.33,-0.1,58.9,-0.2,8,-0.51051,-0.22093,0.76386,8,0.04,-0.18,-0.35
"213",1996,9,2,-0.44,-1.073,24.69,24.69,0.63,-0.7,267.4,0.01,-3.2,0.1,0,0,63.9,-0.3,9,-0.43937,-0.77948,0.00773,9,-0.02,-0.26,-0.46
"214",1996,10,1,-0.27,-1.019,24.69,24.69,-0.61,0.38,267.4,-0.21,0.2,-1.5,-0.07,-0.3,59.5,-0.4,10,-0.96602,-0.85345,1.03203,10,-0.07,-0.24,-0.3
"215",1996,11,1,-0.03,-1.1,26.12,26.12,-1.96,-0.26,267.27,-0.74,7.2,-1.3,-0.25,-0.3,56.1,-0.3,11,-0.63504,-0.47412,0.80367,11,-0.1,-0.37,-0.47
"216",1996,12,0,-0.48,-0.97,27.06,27.06,-0.21,-1.5,267.28,-0.81,16.3,3,-0.27,0.6,47.3,-0.4,12,-1.0508,-0.94628,1.15139,12,0.08,-0.17,-0.3
"217",1997,1,0,-0.31,-0.68,28.12,28.12,-1.16,-1.78,267.05,-1.36,15.3,0.7,-0.46,0.1,41.9,-0.6,1,0.17659,-0.20125,-0.73771,1,0.54,0.49,0.56
"218",1997,2,0,-0.75,-0.464,28.74,28.74,-0.2,0.04,267.11,-1.21,20.3,6.2,-0.41,1.3,42.5,-0.7,2,-0.89825,-0.7304,1.03118,2,0.84,0.85,1
"219",1997,3,0,0.42,0.051,29.23,29.23,-2.25,0.39,267.13,-1.55,16.2,6.1,-0.52,1.3,21.6,-0.6,3,1.26246,1.17157,-1.16411,3,1.09,1.26,1.17
"220",1997,4,0,0.96,0.742,28.22,28.22,-1.91,0.16,267.23,-1.92,10.7,2.7,-0.65,0.6,19,-0.4,4,1.24804,1.17459,-0.90198,4,1.49,1.87,2.17
"221",1997,5,0,2.11,1.314,27.14,27.14,-0.8,0.01,267.52,-1.19,4.3,-0.6,-0.4,-0.1,16.3,0,5,2.13609,1.97738,-1.66036,5,1.38,1.82,2.01
"222",1997,6,0,2.12,1.83,25.36,25.36,-0.33,-1.91,267.44,-0.6,-4.2,-6,-0.2,-1.2,29.7,0.3,6,3.53095,3.37359,-3.28857,6,1.55,2.01,2.25
"223",1997,7,2,1.88,2.386,23.37,23.37,-1.24,-0.45,267.59,0.76,-4.6,-4.3,0.26,-0.9,22.8,0.6,7,1.95745,2.45029,-1.01445,7,1.34,1.77,1.83
"224",1997,8,0,2.48,2.785,21.97,21.97,-0.35,-1.13,267.44,0.13,-5.8,-3.2,0.05,-0.6,24.8,0.5,8,2.99355,3.37697,-2.17966,8,1.07,1.5,1.79
"225",1997,9,1,2.27,2.961,20.95,20.95,0.11,-0.43,267.55,0.45,-6.9,-3.6,0.15,-0.7,32.8,0.4,9,3.0605,3.11977,-2.69505,9,1.25,1.85,2.38
"226",1997,10,0,2.15,3.262,21.35,21.35,1.1,-1.92,267.58,0.33,-4.1,-5.8,0.11,-1.2,12.2,0.5,10,3.20304,3.559,-2.59535,10,1.35,2.05,2.56
"227",1997,11,0,1.92,3.195,21.51,21.51,-0.35,-1.55,267.69,0.51,-4.5,-13,0.17,-2.7,38.8,0.7,11,2.13268,2.887,-0.83839,11,1.19,1.94,2.3
"228",1997,12,0,1.74,3.08,22.63,22.63,-1.12,0.47,268.06,1.5,-0.6,-13.9,0.51,-2.9,14.4,1,12,2.28455,2.36665,-2.0403,12,0.56,1.15,1.02
"229",1998,1,0,2.73,2.942,23.79,23.79,-1.78,-0.22,268.41,2.66,-2.7,-17.3,0.9,-3.6,24,1.1,1,2.47553,3.03959,-1.27183,1,-0.24,0.16,0
"230",1998,2,0,2.61,2.959,25.56,25.56,1.11,0,268.64,3.31,-2.8,-16.9,1.12,-3.5,30.2,1.1,2,1.96814,2.70274,-0.53221,2,-0.66,-0.35,-0.38
"231",1998,3,0,2.45,2.815,26.45,26.45,0.13,0.15,268.58,2.75,-5.7,-15.8,0.93,-3.2,39.2,0.9,3,1.34651,2.46134,0.41385,3,-0.76,-0.51,-0.61
"232",1998,4,0,1.55,2.788,24.64,24.64,-1.11,0.49,268.92,3.08,-6.4,-14.4,1.04,-3,53.3,0.8,4,1.11937,2.6946,1.68111,4,-1.08,-0.91,-1.06
"233",1998,5,0,0.49,2.745,23.73,23.73,0.23,0.54,268.79,2.57,1,-3.9,0.87,-0.8,37.4,0.6,5,1.01023,1.62989,0.17281,5,-1.43,-1.42,-1.75
"234",1998,6,0,-0.86,2.636,22.36,22.36,-0.08,0.43,268.07,1.26,3.3,1.5,0.43,0.3,42.9,0.4,6,-0.88174,-0.49332,1.22754,6,-1.68,-1.79,-2.16
"235",1998,7,0,-1.45,2.193,21.73,21.73,-0.04,0.74,267.64,0.91,2.1,2.4,0.31,0.5,53.3,0.4,7,-0.27011,0.74223,1.39531,7,-1.74,-1.94,-2.29
"236",1998,8,2,-1.39,1.922,20.89,20.89,1.3,1.33,267.7,0.9,-5.7,-3.1,0.31,-0.6,60.7,0.5,8,-0.9705,0.00577,1.9225,8,-1.68,-1.97,-2.46
"237",1998,9,5,-1.21,1.789,19.67,19.67,-0.87,1.28,267.64,0.72,-3.7,-0.4,0.24,-0.1,68.2,0.8,9,-1.17287,-1.00447,1.25135,9,-1.44,-1.76,-2.15
"238",1998,10,2,-1.28,1.904,20.15,20.15,0.45,1.3,267.72,0.74,3.5,1.8,0.25,0.4,64.3,0.9,10,-1.01313,-1.06855,0.88573,10,-1.55,-1.95,-2.35
"239",1998,11,1,-1.18,2.073,20.43,20.43,0.83,0.88,267.48,-0.12,12.9,4.4,-0.04,0.9,64,0.8,11,-1.08407,-1.04487,1.03352,11,-1.53,-1.96,-2.33
"240",1998,12,0,-1.51,2.508,22.17,22.17,-1.74,1.51,267.41,-0.42,15.8,2.5,-0.14,0.5,57.3,0.6,12,-0.98407,-1.06461,0.81123,12,-1.34,-1.71,-2.18
"241",1999,1,0,-1.71,2.577,23.81,23.81,-2.96,1.2,267.18,-0.98,23.5,8.9,-0.33,1.8,62.5,0.5,1,-1.1481,-0.87794,1.41278,1,-1.16,-1.52,-1.8
"242",1999,2,0,-1.14,2.338,25.48,25.48,-1.97,0.95,266.95,-1.69,20,5.9,-0.57,1.2,54.5,0.3,2,-0.80235,-0.77379,0.73094,2,-0.93,-1.36,-1.61
"243",1999,3,0,-1.04,2.028,26.02,26.02,0.47,0.95,267.3,-1.04,10.1,0,-0.35,0,59.8,0.3,3,-0.97757,-0.71714,1.16105,3,-0.54,-0.86,-0.99
"244",1999,4,0,-1.29,1.511,25.5,25.5,0.48,1,267.31,-1.68,7.8,-0.2,-0.57,0,53.3,0.2,4,-1.6974,-0.76089,2.49614,4,-0.42,-0.75,-0.91
"245",1999,5,0,-0.68,0.882,24.02,24.02,1.02,-0.58,267.19,-2.16,7.4,2.5,-0.73,0.5,53.8,0,5,-1.3144,-1.15246,1.11031,5,-0.29,-0.59,-0.81
"246",1999,6,0,-0.84,0.539,22.75,22.75,2.11,0.46,266.93,-2.11,0.4,-1.4,-0.71,-0.3,52.1,-0.3,6,-0.60652,-0.81059,0.29591,6,-0.15,-0.4,-0.52
"247",1999,7,0,-0.88,0.312,21.68,21.68,0.51,0.53,266.9,-1.28,4.8,5.1,-0.43,1.1,49.6,-0.6,7,-0.96072,-1.21708,0.48107,7,-0.31,-0.51,-0.64
"248",1999,8,3,-0.92,0.2,20.44,20.44,-0.69,0.33,267.05,-1.02,-5.2,-2.6,-0.35,-0.5,61.5,-0.8,8,-1.3033,-1.25776,1.18367,8,-0.56,-0.87,-1.21
"249",1999,9,2,-0.55,0.269,20.5,20.5,1.31,0.45,267.04,-1.06,-9.2,-5.9,-0.36,-1.2,69.4,-0.8,9,-0.29173,-0.37872,0.16389,9,-0.52,-0.92,-1.27
"250",1999,10,2,-1.09,0.484,20.74,20.74,0.55,0.51,266.92,-1.63,5.4,3.7,-0.55,0.8,65.9,-0.7,10,-0.92281,-0.6503,1.17287,10,-0.5,-0.88,-1.07
"251",1999,11,1,-1.3,0.682,20.46,20.46,0.13,-0.63,267.12,-1.18,14.8,6.3,-0.4,1.3,59,-0.9,11,-0.73938,-0.76756,0.62597,11,-0.72,-1.18,-1.48
"252",1999,12,0,-1.47,1.276,21.85,21.85,1.53,0.45,267.07,-1.43,22.4,9.1,-0.48,1.9,65.3,-1.1,12,-1.0691,-0.93703,1.20994,12,-0.77,-1.23,-1.55
"253",2000,1,0,-1.22,1.57,23.94,23.94,0.12,-0.32,266.99,-1.54,20,5.4,-0.52,1.1,62,-1.4,1,-1.00105,-0.92345,0.98739,1,-0.5,-0.96,-1.28
"254",2000,2,0,-1.78,2.017,25.62,25.62,1.01,-0.33,266.86,-1.95,19.5,5.4,-0.66,1.1,68.8,-1.4,2,-0.95071,-0.55166,1.43831,2,-0.26,-0.69,-0.91
"255",2000,3,0,-1.24,2.038,26.66,26.66,0.49,-1.47,267.02,-1.87,12.8,2.7,-0.63,0.6,64.3,-1.1,3,-0.75159,-0.42659,1.06313,3,-0.04,-0.41,-0.64
"256",2000,4,0,-1.13,1.684,25.72,25.72,-0.66,-2.8,267.28,-1.77,8,0,-0.6,0,55.2,-0.8,4,-0.9821,-0.75759,0.96273,4,0.22,-0.08,-0.31
"257",2000,5,0,-0.79,1.132,23.71,23.71,-0.5,-1.12,267.44,-1.42,6.2,1.3,-0.48,0.3,48.5,-0.7,5,-0.69274,-0.43453,0.82356,5,0.34,0.04,-0.18
"258",2000,6,0,-0.3,0.648,22.28,22.28,0.23,-2.16,267.2,-1.31,7.8,6,-0.44,1.2,55.9,-0.7,6,-1.62835,-1.05791,2.09602,6,0.34,0.15,0.08
"259",2000,7,0,-0.19,0.012,21.38,21.38,0.74,-1.64,266.85,-1.43,-0.8,-0.5,-0.48,-0.1,57.9,-0.8,7,0.04638,0.03228,-0.05399,7,0.25,0.09,0.03
"260",2000,8,2,-0.5,-0.251,20.16,20.16,-0.6,-1.09,267.1,-0.87,2,4.6,-0.29,1,48.8,-0.8,8,-1.16031,-1.33708,0.81374,8,0.14,0.04,0
"261",2000,9,5,-0.71,-0.224,19.6,19.6,-0.39,-0.94,267.08,-0.94,-7.1,-3.8,-0.32,-0.8,62.4,-0.8,9,0.28711,0.43948,-0.08496,9,0.08,0,-0.12
"262",2000,10,1,-0.87,0.036,19.88,19.88,-0.95,-1.61,267.34,-0.38,6.2,4.5,-0.13,0.9,57.5,-0.9,10,-1.17446,-1.1184,1.16314,10,-0.11,-0.3,-0.37
"263",2000,11,0,-1.36,0.269,20.77,20.77,-1.15,-1.37,267.37,-0.44,10.6,2.1,-0.15,0.4,58.2,-1,11,-0.7076,-0.67605,0.68316,11,-0.3,-0.54,-0.67
"264",2000,12,0,-0.82,0.618,21.79,21.79,-1.09,-0.4,267.43,-0.36,15.5,2.2,-0.12,0.4,52.2,-0.9,12,-0.47222,-0.48275,0.43138,12,-0.36,-0.72,-0.96
"265",2001,1,0,-0.88,0.921,23.79,23.79,-2.43,-2.84,267.15,-1.07,18.2,3.6,-0.36,0.7,58.7,-0.7,1,-0.93738,-0.7331,1.12827,1,-0.07,-0.44,-0.56
"266",2001,2,0,-1.16,1.144,26.03,26.03,-0.16,-0.21,267.31,-0.62,26.3,12.2,-0.21,2.5,44.7,-0.4,2,-1.09959,-0.99885,1.09822,2,-0.04,-0.41,-0.63
"267",2001,3,0,-0.5,0.813,27.25,27.25,-0.28,-3.2,267.28,-1.1,12.1,2,-0.37,0.4,49.5,0.1,3,-0.97516,-0.89263,0.91602,3,0.22,-0.03,-0.29
"268",2001,4,0,-0.35,0.329,26.35,26.35,0.23,0.07,267.82,-0.17,6.4,-1.6,-0.06,-0.3,37.6,0.4,4,-0.86644,-0.97561,0.38316,4,0.42,0.29,0.26
"269",2001,5,0,0.18,-0.35,25.04,25.04,1.09,-0.19,267.72,-0.59,6.8,1.9,-0.2,0.4,39.8,0.7,5,-0.17695,-0.57516,-0.42976,5,0.27,0.13,0.11
"270",2001,6,0,0,-1.088,23.51,23.51,0.51,2.49,267.31,-0.99,2.7,0.9,-0.33,0.2,44,0.9,6,-0.97573,-1.22021,0.5736,6,0.33,0.29,0.46
"271",2001,7,0,0.33,-1.91,21.72,21.72,-1.74,0.18,267.15,-0.54,-0.3,0,-0.18,0,45.9,1.1,7,0.47214,-0.20025,-1.1641,7,0.43,0.51,0.61
"272",2001,8,0,0.45,-2.233,20.74,20.74,-0.81,0.05,267.51,0.34,3.1,5.7,0.12,1.2,44.6,1.4,8,-0.17648,0.04826,0.40175,8,0.09,0.1,0.12
"273",2001,9,4,-0.08,-2.24,20.93,20.93,0.15,1.05,267.18,-0.65,-6.1,-2.8,-0.22,-0.6,58.3,1.6,9,0.09751,0.59687,0.48298,9,0.22,0.24,0.35
"274",2001,10,2,0.07,-2.123,21.39,21.39,-1.35,0.29,267.56,0.27,1.9,0.2,0.09,0,50.3,1.8,10,-0.39585,-0.41687,0.34679,10,0.17,0.18,0.28
"275",2001,11,3,-0.47,-2.084,22.63,22.63,-0.26,1.92,267.75,0.68,12.4,3.9,0.23,0.8,41.2,2.1,11,-0.74356,-0.70612,0.72404,11,0.18,0.18,0.22
"276",2001,12,0,0.36,-1.637,23.91,23.91,-1.76,2.35,267.59,0.11,16.5,3.2,0.04,0.7,8.7,2.1,12,0.37255,0.49711,-0.16635,12,0.22,0.23,0.17
"277",2002,1,0,-0.22,-1.186,24.69,24.69,-2.46,2.16,267.32,-0.56,17.9,3.3,-0.19,0.7,31.7,1.8,1,-0.05427,0.01082,0.14775,1,0.49,0.64,0.95
"278",2002,2,0,-0.44,-0.929,25.98,25.98,-2.27,1.03,267.66,0.41,22.8,8.7,0.14,1.8,16,1.2,2,0.60475,0.50991,-0.66579,2,0.51,0.64,0.78
"279",2002,3,0,0.31,-0.802,26.42,26.42,-0.1,1.43,267.73,0.23,10.9,0.8,0.08,0.2,22.1,0.5,3,0.27341,0.12633,-0.42616,3,0.45,0.6,0.55
"280",2002,4,0,0.3,-0.918,24.98,24.98,-1.95,0.75,267.87,-0.02,8.3,0.3,-0.01,0.1,41.3,-0.1,4,-0.12602,-0.41122,-0.35292,4,0.23,0.29,0.32
"281",2002,5,0,0.98,-1.281,22.77,22.77,0.21,0.35,268.03,0.32,2.2,-2.7,0.11,-0.6,45,-0.5,5,0.21128,-0.119,-0.59805,5,0.1,0.03,0.07
"282",2002,6,0,0.89,-1.757,21.77,21.77,-0.15,0.45,267.72,0.22,2.2,0.4,0.08,0.1,32,-0.9,6,0.44943,0.27223,-0.6015,6,0.43,0.42,0.67
"283",2002,7,0,1.04,-2.067,20.95,20.95,-1.13,-0.23,267.54,0.61,-2.6,-2.3,0.21,-0.5,49.3,-1.1,7,1.70256,1.42005,-1.7087,7,0.53,0.58,0.73
"284",2002,8,0,1.3,-2.169,21.02,21.02,-0.04,-0.42,267.47,0.22,0.7,3.3,0.08,0.7,25.9,-1.3,8,0.93982,1.27277,-0.44945,8,0.7,0.81,1.05
"285",2002,9,4,1.07,-1.903,20.28,20.28,0.13,0.88,267.4,0.01,-4.1,-0.8,0,-0.2,24.1,-1.5,9,1.7772,1.86599,-1.50281,9,0.93,1.14,1.41
"286",2002,10,0,1.01,-1.552,21.25,21.25,-1.49,0.17,267.43,-0.12,0.5,-1.2,-0.04,-0.3,29.4,-1.7,10,1.50342,1.35509,-1.57571,10,1.04,1.4,1.72
"287",2002,11,0,1.09,-1.383,21.94,21.94,0.53,0.16,267.62,0.3,6.4,-2.1,0.1,-0.4,20,-1.9,11,0.91197,0.87337,-0.87752,11,0.78,1.23,1.58
"288",2002,12,0,1.41,-1.289,23.03,23.03,-0.86,-0.04,267.82,0.79,8.2,-5.1,0.27,-1.1,12.9,-2,12,1.52927,1.69648,-1.19775,12,0.26,0.63,0.74
"289",2003,1,0,0.68,-1.484,24.36,24.36,-0.88,1.56,267.9,1.15,13.1,-1.5,0.39,-0.3,-0.9,-1.8,1,0.81898,0.71276,-0.87393,1,-0.1,0.13,0.27
"290",2003,2,0,0.99,-1.7,26.03,26.03,-0.14,-0.49,267.87,1.03,8.9,-5.2,0.35,-1.1,18.5,-1.6,2,0.22479,0.28301,-0.10102,2,-0.34,-0.27,-0.11
"291",2003,3,0,0.77,-1.983,25.75,25.75,0.53,-1.22,267.83,0.53,8.1,-2,0.18,-0.4,24.7,-1.2,3,-0.05283,-0.15238,-0.09249,3,-0.29,-0.24,-0.06
"292",2003,4,0,0.14,-2.153,24.96,24.96,0.11,0.7,267.99,0.33,5.6,-2.4,0.11,-0.5,42.3,-1,4,0.30221,0.1288,-0.45453,4,-0.44,-0.51,-0.49
"293",2003,5,0,-0.04,-2.241,22.82,22.82,0.67,0.28,268,0.23,8.7,3.8,0.08,0.8,44.1,-0.9,5,-0.29548,0.15625,0.82235,5,-0.6,-0.77,-0.85
"294",2003,6,0,0.19,-1.985,22.05,22.05,1.01,-0.28,267.46,-0.55,-2.1,-3.9,-0.18,-0.8,56.1,-0.8,6,1.09819,0.4762,-1.68973,6,0.08,0.03,0.13
"295",2003,7,2,0.13,-1.917,21.18,21.18,-0.26,-0.58,267.53,0.58,3.9,4.2,0.2,0.9,42.2,-0.5,7,-0.46642,-0.36653,0.49425,7,0.45,0.44,0.53
"296",2003,8,2,0.2,-1.769,20.26,20.26,-0.95,-1.2,267.43,0.1,-3.4,-0.8,0.04,-0.2,57.9,-0.4,8,-0.05095,-0.36233,-0.2997,8,0.24,0.2,0.03
"297",2003,9,3,0.3,-1.499,20.46,20.46,-0.27,-1.08,267.47,0.21,-4.9,-1.6,0.07,-0.3,53.1,-0.4,9,-0.55743,-0.82102,0.2018,9,0.28,0.16,0.1
"298",2003,10,0,0.43,-1.169,21.16,21.16,-0.74,0.05,267.75,0.83,3.1,1.4,0.28,0.3,51.9,-0.6,10,-0.36216,-0.53011,0.14869,10,0.42,0.33,0.34
"299",2003,11,0,0.43,-1.168,22.37,22.37,-1.66,-0.49,267.71,0.57,5.5,-3,0.19,-0.6,55.2,-0.8,11,0.08533,-0.06581,-0.29411,11,0.52,0.53,0.54
"300",2003,12,0,-0.26,-0.94,23.18,23.18,0.23,-0.62,267.83,0.82,16,2.7,0.28,0.5,36,-0.6,12,-0.42965,-0.58377,0.17616,12,0.3,0.25,0.17
"301",2004,1,0,0.87,-0.809,24.54,24.54,-1.54,0.2,267.66,0.44,12.4,-2.2,0.15,-0.5,21.3,-0.5,1,0.28436,-0.03009,-0.73299,1,0.26,0.18,0.05
"302",2004,2,0,-0.5,-0.86,25.16,25.16,-1.5,-1.13,267.75,0.68,14.6,0.5,0.23,0.1,41.7,-0.6,2,-0.13191,-0.269,-0.10198,2,0.2,0.16,0.19
"303",2004,3,1,-0.07,-1.21,25.03,25.03,-1.1,1.09,267.96,0.91,16.9,6.8,0.31,1.4,29.2,-0.7,3,0.03492,-0.38218,-0.5986,3,0.01,-0.05,-0.1
"304",2004,4,0,0.55,-1.466,25.12,25.12,-0.73,0.96,267.88,0.01,10.1,2.1,0,0.4,24.1,-0.7,4,0.965,0.63914,-1.10568,4,0.2,0.19,0.21
"305",2004,5,0,-0.21,-1.85,24.04,24.04,-0.4,1.37,267.87,-0.15,8.1,3.2,-0.05,0.7,46.6,-0.8,5,-1.51531,-1.46566,1.09102,5,0.17,0.16,0.3
"306",2004,6,0,0.54,-2.17,22.35,22.35,-1.36,2.25,267.5,-0.43,5.6,3.8,-0.14,0.8,26.9,-1,6,0.38996,0.80446,0.13946,6,0.22,0.14,0.04
"307",2004,7,0,0.94,-2.41,21.61,21.61,-0.09,0.78,266.99,-1.02,-4.2,-3.9,-0.34,-0.8,48.3,-1.1,7,-0.01871,-0.48183,-0.52295,7,0.53,0.62,0.83
"308",2004,8,5,0.88,-2.342,20.61,20.61,0.9,0.48,267.41,0.04,-2.1,0.5,0.02,0.1,44.6,-1.2,8,1.56144,1.66029,-1.24866,8,0.56,0.61,0.78
"309",2004,9,3,0.78,-2.137,19.99,19.99,0.35,0.01,267.25,-0.44,-7.5,-4.2,-0.15,-0.9,48.8,-1.4,9,-0.01903,-0.0982,-0.07335,9,0.62,0.7,0.87
"310",2004,10,1,0.56,-1.832,19.75,19.75,0.93,0.85,267.62,0.44,-0.1,-1.8,0.15,-0.4,47.3,-1.4,10,0.3802,0.37256,-0.36462,10,0.54,0.56,0.61
"311",2004,11,0,0.88,-1.708,20.23,20.23,0.53,-0.88,267.69,0.51,4.3,-4.2,0.17,-0.9,36.1,-1.6,11,0.53607,0.30113,-0.82083,11,0.53,0.58,0.78
"312",2004,12,0,0.91,-1.606,21.89,21.89,0.38,0.3,267.74,0.55,9.4,-3.9,0.19,-0.8,35.7,-1.7,12,0.37089,0.04689,-0.83608,12,0.59,0.64,0.79
"313",2005,1,0,0.23,-1.816,24.19,24.19,-1.2,0.91,267.89,1.12,16.5,1.9,0.38,0.4,32.5,-1.6,1,-0.09497,-0.41217,-0.40861,1,0.4,0.42,0.52
"314",2005,2,0,2.2,-1.851,26.32,26.32,-0.51,0.65,268.03,1.51,11.2,-2.9,0.51,-0.6,0.3,-1.2,2,1.11161,1.13412,-0.91539,2,0.29,0.42,0.59
"315",2005,3,0,0.28,-1.721,26.2,26.2,-0.81,0.32,268.14,1.44,4.7,-5.4,0.49,-1.1,37.1,-0.7,3,-0.09212,-0.18555,-0.05175,3,0.49,0.72,1.27
"316",2005,4,0,0.59,-1.641,24.04,24.04,-0.67,1.44,268.41,1.58,6.4,-1.6,0.53,-0.3,29.4,-0.5,4,-0.07704,-0.04859,0.09196,4,0.24,0.36,0.49
"317",2005,5,0,0.98,-1.459,23.86,23.86,0.6,1.76,268.04,0.35,4.9,0,0.12,0,39.4,-0.3,5,0.14563,-0.18481,-0.55398,5,0.06,0.01,0
"318",2005,6,0,0.27,-1.143,22.91,22.91,-0.31,2.15,267.93,0.85,-1.3,-3.1,0.29,-0.6,45.5,0,6,0.34321,-0.06954,-0.78223,6,0.1,0.04,0.11
"319",2005,7,3,0.26,-1.219,22.16,22.16,-1.53,1.88,267.72,1.14,2,2.3,0.39,0.5,36.7,0.2,7,-0.74921,-0.98373,0.33497,7,0.01,-0.08,-0.2
"320",2005,8,2,0.43,-1.501,21.71,21.71,-1.1,0.6,267.6,0.61,-5.8,-3.2,0.21,-0.6,56,0.4,8,-0.05716,-0.50803,-0.4484,8,-0.05,-0.17,-0.42
"321",2005,9,5,-0.15,-1.618,21.7,21.7,-0.23,1.21,267.8,1.19,-1,2.3,0.4,0.5,51.9,0.6,9,-0.47353,-0.54251,0.34861,9,-0.02,-0.16,-0.33
"322",2005,10,4,-0.53,-1.608,22.07,22.07,-0.65,0.63,267.76,0.86,3.2,1.5,0.29,0.3,52,0.8,10,-0.50651,-0.3093,0.69774,10,0.01,-0.11,-0.14
